Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,EUI (kWh/m3),Treatment process,Latitude,Longitude,annual_hdd,Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Methane generation (m3/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Current energy self-sufficiency,Current recovered heat waste,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a),COD_eff (mg/L),COD_removal (%),NHx_eff (mg/L),NHx_removal (%),C/N_ratio_HRAS,Sludge_VSS (g/a),Sludge_TSS (g/a),Sludge_COD (g/a),Electricity recovery potential (kWh/a)_HRAS,Heat recovery potential (kWh/a)_HRAS,If CEPT,If HRAS,Electricity consumption HRAS-PNA,Heat consumption HRAS-PNA,HRAS-PNA energy consumption,Electricity consumption CEPT-PDA,Heat consumption CEPT-PDA,CEPT-PDA energy consumption,Selected_Process,Selected_Electricity,Selected_Heat,Electricity consumption after upgrade,Heat consumption after upgrade
1,6.5522724,14835.97,335.97,14.49,163.98,2.39,303.27,2.81,38.28,0.28,50.44,10.26,7.43,0.16,0.61,A2O,40.18437,116.26667,8213.33,5580000.0,388000.0,192000.0,668000.0,763000.0,388000.0,0.177,0.508,84.0,42.9,1.96,742000.0,2200000.0,4450.0,1020000.0,1160000.0,75.75783042629668,77.45101336,35.04864457215934,8.441367366354914,2.161505283615858,1346594755.9399972,1584229124.6352909,1997963125.2979977,1094053.37,1250346.71,CEPT,,,,,4226271.71249939,581339.9974505327,4807611.709949923,CEPT,1020000.0,1160000.0,4226271.71249939,581339.9974505327
2,7.2207416,6708.06,379.67,23.54,115.75,5.78,366.27,7.17,31.84,1.52,44.79,11.68,8.19,0.4,0.36,A2O,40.148968,116.290595,8213.33,3620000.0,175000.0,144000.0,501000.0,572000.0,175000.0,0.178,0.306,94.9,38.1,2.49,577000.0,2920000.0,5410.0,790000.0,903000.0,102.12600667412744,73.10137575417403,28.44943930622669,10.64874589752924,3.589737062121124,1492274737.3098216,1755617338.011555,2214107538.188322,1212410.68,1385612.2,,,,,,,,,Current,501000.0,572000.0,3620000.0,175000.0
3,1.8218736,3102.4,212.46,18.09,88.86,3.33,107.48,3.57,30.6,1.85,35.79,11.62,3.04,0.34,0.58,A2O,39.756206,116.45241,8213.33,1470000.0,81100.0,28200.0,98200.0,112000.0,81100.0,0.115,0.722,53.1,30.4,1.75,112000.0,216000.0,844.0,153000.0,175000.0,58.29701775079316,72.56094429502346,28.885045983065208,5.604424891943769,2.018242165339521,237369834.3629148,279258628.6622527,352306145.2587094,192917.34,220476.96,CEPT,,,,,1114395.4219380799,110258.6422130898,1224654.0641511697,CEPT,153000.0,175000.0,1114395.4219380799,110258.6422130898
5,129.2938024,178452.41,538.09,12.89,217.01,1.02,306.49,2.5,38.32,0.41,50.14,9.03,5.65,0.11,0.58,A2O,39.9941159,116.3343273,8213.33,104000000.0,4660000.0,5060000.0,17600000.0,20100000.0,4660000.0,0.204,0.232,135.0,42.6,3.16,19400000.0,43800000.0,88400.0,26500000.0,30300000.0,97.62447527239172,81.85722178959065,32.215106096716525,15.931351522138506,3.030394342930379,41271736687.55001,48554984338.294136,61213748355.75597,33519691.68,38308219.07,,,,,,,,,Current,17600000.0,20100000.0,104000000.0,4660000.0
7,139.5943676,215278.94,413.82,14.57,169.95,1.04,185.53,2.5,39.22,0.37,49.9,10.52,5.07,0.15,0.48,A2O,39.83298,116.45573,8213.33,93400000.0,5620000.0,4270000.0,14900000.0,17000000.0,5620000.0,0.207,0.331,103.0,42.4,2.44,16400000.0,28600000.0,76700.0,22400000.0,25600000.0,84.77218533786831,79.51472008654288,34.929650917427715,10.939186850005823,2.4269405250646887,34989561246.70448,41164189702.00528,51906537532.90195,28423208.53,32483666.89,,,,,,,,,Current,14900000.0,17000000.0,93400000.0,5620000.0
11,12.6894756,2561.74,149.34,12.85,71.7,5.8,175.11,4.0,16.44,1.02,19.95,6.15,2.08,0.28,0.24,A2O,39.945213,116.418944,8213.33,4220000.0,66900.0,152000.0,527000.0,603000.0,66900.0,0.139,0.111,37.3,17.0,2.2,629000.0,2460000.0,6830.0,860000.0,983000.0,47.1222667029805,68.44631933642661,15.396061620592558,6.349990142,3.060670180739825,1139517725.2700613,1340609088.553013,1691652690.2044191,926322.57,1058654.36,,,,,,,,,Current,527000.0,603000.0,4220000.0,66900.0
12,11.0926936,16632.52,270.52,15.5,98.19,2.38,140.1,4.0,45.57,0.45,60.21,7.58,5.51,0.13,0.7,A2O,39.889526,116.144132,8213.33,10800000.0,435000.0,193000.0,670000.0,766000.0,435000.0,0.0984,0.567,67.6,51.2,1.32,752000.0,1720000.0,5540.0,1030000.0,1180000.0,72.93910557,73.03744434060874,43.28107787502791,5.022870583656109,1.6852423541852044,1766603493.7900133,2078357051.517663,2621655484.8992386,1435577.56,1640660.07,CEPT,HRAS,8103304.789094633,271512.82764732017,8374817.616741953,8080578.6634856,723735.6372754946,8804314.300761094,HRAS,1435577.56,1640660.07,8103304.789094633,271512.82764732017
13,112.0161216,166394.59,343.44,15.91,137.3,1.3,156.61,2.5,45.69,0.33,56.02,9.28,5.1,0.15,0.8,A2O,39.83524,116.40167,8213.33,124000000.0,4350000.0,2760000.0,9600000.0,11000000.0,4350000.0,0.108,0.396,85.9,47.6,1.8,10600000.0,19400000.0,58000.0,14500000.0,16600000.0,76.55911996048445,77.70815281840075,42.36588297843527,7.275371025530148,1.807093693750085,23547425893.064327,27702853991.840385,34937557309.64984,19131260.23,21864297.4,CEPT,HRAS,90011044.72098786,3619051.0267390935,93630095.74772695,92474226.13889122,7577015.697108067,100051241.83599928,HRAS,19131260.23,21864297.4,90011044.72098786,3619051.0267390935
14,77.7213276,107172.61,578.98,13.13,281.18,1.03,330.11,2.5,35.61,0.37,51.62,9.19,8.69,0.11,0.45,A2O,40.057896,116.462308,8213.33,48800000.0,2800000.0,3950000.0,13700000.0,15700000.0,2800000.0,0.321,0.178,145.0,43.9,3.3,15100000.0,28400000.0,55100.0,20700000.0,23600000.0,101.76852832508284,82.42279037,28.87568526740508,18.911302253847005,3.524367556393868,26468496275.248104,31139407382.644825,39255247073.0,21495559.65,24566353.88,,,,,,,,,Current,13700000.0,15700000.0,48800000.0,2800000.0
15,26.9301936,33365.79,429.33,20.13,202.71,2.96,284.32,3.21,43.63,0.31,51.56,14.57,5.35,0.32,0.23,A2O,39.839826,116.308629,8213.33,8690000.0,872000.0,975000.0,3390000.0,3880000.0,872000.0,0.446,0.225,107.0,43.8,2.45,3770000.0,8460000.0,17700.0,5160000.0,5900000.0,86.32539683370446,79.89299680113095,39.12543227,10.324473370524188,2.206375542164604,6994930399.532599,8229329881.803057,10376686088.766342,5682111.09,6493841.25,,,,,,,,,Current,3390000.0,3880000.0,8690000.0,872000.0
