Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,EUI (kWh/m3),Treatment process,Latitude,Longitude,annual_hdd,Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Methane generation (m3/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Current energy self-sufficiency,Current recovered heat waste,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a),COD_eff (mg/L),COD_removal (%),NHx_eff (mg/L),NHx_removal (%),C/N_ratio_HRAS,Sludge_VSS (g/a),Sludge_TSS (g/a),Sludge_COD (g/a),Electricity recovery potential (kWh/a)_HRAS,Heat recovery potential (kWh/a)_HRAS
1,6.5522724,14835.97,335.97,14.49,163.98,2.39,303.27,2.81,38.28,0.28,50.44,10.26,7.43,0.16,0.61,A2O,40.18437,116.26667,8213.33,5.58E+06,3.88E+05,1.92E+05,6.68E+05,7.63E+05,3.88E+05,1.77E-01,5.08E-01,8.40E+01,4.29E+01,1.96E+00,7.42E+05,2.20E+06,4.45E+03,1.02E+06,1.16E+06,75.75783042629668,77.45101336,35.04864457215934,8.441367366354914,2.161505283615858,1346594755.9399972,1584229124.6352909,1997963125.2979977,1094053.37,1250346.71
2,7.2207416,6708.06,379.67,23.54,115.75,5.78,366.27,7.17,31.84,1.52,44.79,11.68,8.19,0.4,0.36,A2O,40.148968,116.290595,8213.33,3.62E+06,1.75E+05,1.44E+05,5.01E+05,5.72E+05,1.75E+05,1.78E-01,3.06E-01,9.49E+01,3.81E+01,2.49E+00,5.77E+05,2.92E+06,5.41E+03,7.90E+05,9.03E+05,102.12600667412744,73.10137575417403,28.44943930622669,10.64874589752924,3.589737062121124,1492274737.3098216,1755617338.011555,2214107538.188322,1212410.68,1385612.2
3,1.8218736,3102.4,212.46,18.09,88.86,3.33,107.48,3.57,30.6,1.85,35.79,11.62,3.04,0.34,0.58,A2O,39.756206,116.45241,8213.33,1.47E+06,8.11E+04,2.82E+04,9.82E+04,1.12E+05,8.11E+04,1.15E-01,7.22E-01,5.31E+01,3.04E+01,1.75E+00,1.12E+05,2.16E+05,8.44E+02,1.53E+05,1.75E+05,58.29701775079316,72.56094429502346,28.885045983065208,5.604424891943769,2.018242165339521,237369834.3629148,279258628.6622527,352306145.2587094,192917.34,220476.96
5,129.2938024,178452.41,538.09,12.89,217.01,1.02,306.49,2.5,38.32,0.41,50.14,9.03,5.65,0.11,0.58,A2O,39.9941159,116.3343273,8213.33,1.04E+08,4.66E+06,5.06E+06,1.76E+07,2.01E+07,4.66E+06,2.04E-01,2.32E-01,1.35E+02,4.26E+01,3.16E+00,1.94E+07,4.38E+07,8.84E+04,2.65E+07,3.03E+07,97.62447527239172,81.85722178959065,32.215106096716525,15.931351522138506,3.030394342930379,41271736687.55001,48554984338.294136,61213748355.75597,33519691.68,38308219.07
7,139.5943676,215278.94,413.82,14.57,169.95,1.04,185.53,2.5,39.22,0.37,49.9,10.52,5.07,0.15,0.48,A2O,39.83298,116.45573,8213.33,9.34E+07,5.62E+06,4.27E+06,1.49E+07,1.70E+07,5.62E+06,2.07E-01,3.31E-01,1.03E+02,4.24E+01,2.44E+00,1.64E+07,2.86E+07,7.67E+04,2.24E+07,2.56E+07,84.77218533786831,79.51472008654288,34.929650917427715,10.939186850005823,2.4269405250646887,34989561246.70448,41164189702.00528,51906537532.90195,28423208.53,32483666.89
11,12.6894756,2561.74,149.34,12.85,71.7,5.8,175.11,4,16.44,1.02,19.95,6.15,2.08,0.28,0.24,A2O,39.945213,116.418944,8213.33,4.22E+06,6.69E+04,1.52E+05,5.27E+05,6.03E+05,6.69E+04,1.39E-01,1.11E-01,3.73E+01,1.70E+01,2.20E+00,6.29E+05,2.46E+06,6.83E+03,8.60E+05,9.83E+05,47.122266702980504,68.44631933642661,15.396061620592558,6.349990142,3.060670180739825,1139517725.2700613,1340609088.5530133,1691652690.2044191,926322.57,1058654.36
12,11.0926936,16632.52,270.52,15.5,98.19,2.38,140.1,4,45.57,0.45,60.21,7.58,5.51,0.13,0.7,A2O,39.889526,116.144132,8213.33,1.08E+07,4.35E+05,1.93E+05,6.70E+05,7.66E+05,4.35E+05,9.84E-02,5.67E-01,6.76E+01,5.12E+01,1.32E+00,7.52E+05,1.72E+06,5.54E+03,1.03E+06,1.18E+06,72.93910557,73.03744434060874,43.28107787502791,5.022870583656109,1.6852423541852044,1766603493.7900133,2078357051.517663,2621655484.8992386,1435577.56,1640660.07
13,112.0161216,166394.59,343.44,15.91,137.3,1.3,156.61,2.5,45.69,0.33,56.02,9.28,5.1,0.15,0.8,A2O,39.83524,116.40167,8213.33,1.24E+08,4.35E+06,2.76E+06,9.60E+06,1.10E+07,4.35E+06,1.08E-01,3.96E-01,8.59E+01,4.76E+01,1.80E+00,1.06E+07,1.94E+07,5.80E+04,1.45E+07,1.66E+07,76.55911996048445,77.70815281840075,42.36588297843527,7.275371025530148,1.807093693750085,23547425893.064327,27702853991.840385,34937557309.64984,19131260.23,21864297.4
14,77.7213276,107172.61,578.98,13.13,281.18,1.03,330.11,2.5,35.61,0.37,51.62,9.19,8.69,0.11,0.45,A2O,40.057896,116.462308,8213.33,4.88E+07,2.80E+06,3.95E+06,1.37E+07,1.57E+07,2.80E+06,3.21E-01,1.78E-01,1.45E+02,4.39E+01,3.30E+00,1.51E+07,2.84E+07,5.51E+04,2.07E+07,2.36E+07,101.76852832508285,82.42279037,28.875685267405082,18.911302253847005,3.5243675563938677,26468496275.248104,31139407382.644825,39255247073,21495559.65,24566353.88
15,26.9301936,33365.79,429.33,20.13,202.71,2.96,284.32,3.21,43.63,0.31,51.56,14.57,5.35,0.32,0.23,A2O,39.839826,116.308629,8213.33,8.69E+06,8.72E+05,9.75E+05,3.39E+06,3.88E+06,8.72E+05,4.46E-01,2.25E-01,1.07E+02,4.38E+01,2.45E+00,3.77E+06,8.46E+06,1.77E+04,5.16E+06,5.90E+06,86.32539683370446,79.89299680113095,39.12543227,10.324473370524187,2.206375542164604,6994930399.5325985,8229329881.803057,10376686088.766342,5682111.09,6493841.25
